dam_ID,dam_name,dam_height,storage,file,permit,water_right,exempt_category,river,basin,county,wm_district,wm_region,meridian,township,township_char,range,range_char,sctn,latitude,longitude,last_inspection_state,next_inspection,hazard
,Heart Lake or Deep Lake,10,185,H-60,X10-290,,FEDERAL,Fishhole Creek Watershed,14,LAKE,12,SC REGION,WM,38,S,16,E,20,42.2548294,-120.84203338,,,L
OR00001,Bonneville Dam,110,277000,B-2,,,FEDERAL,Columbia River,3,MULT,20,NW REGION,WM,2,N,7,E,22,45.64461135,-121.94069671,,,H
OR00002,The Dalles Dam,117,330000,T-4,,,FEDERAL,Columbia River,0,WASC,3,NC REGION,WM,2,N,13,E,36,45.61359024,-121.13345336,,,H
OR00003,Big Cliff Dam,141,5930,B-6,,,FEDERAL,North Santiam River,2,LINN,16,NW REGION,WM,9,S,4,E,35,44.75093078,-122.28312683,,,H
OR00004,Detroit Reservoir,450,455000,D-13,R-1625,Cert:72755 OR *,FEDERAL,North Santiam River,2,LINN,16,NW REGION,WM,10,S,5,E,7,44.72190093,-122.24999237,,,H
OR00005,Cottage Grove,103,33000,C-28,R-1625,Cert:72755 OR *,FEDERAL,Coast Fork Willamette,2,LANE,2,NW REGION,WM,21,S,3,W,28,43.71596145,-123.05036926,,,H
OR00006,Dexter,117,29900,D-5,,,FEDERAL,M. Fork Willamette River,2,LANE,2,NW REGION,WM,19,S,1,W,15,43.92369079,-122.80563354,,,H
OR00007,Fall Creek Reservoir,205,125000,F-8,R-5363,Cert:72756 CR *,FEDERAL,Fall Creek,2,LANE,2,NW REGION,WM,19,S,1,W,1,43.94615936,-122.75649261,,,H
OR00008,Dorena,145,77500,D-14,R-1625,Cert:72755 OR *,FEDERAL,Row River,2,LANE,2,NW REGION,WM,20,S,2,W,32,43.78678894,-122.95481872,,,H
OR00009,Lookout,276,477700,L-12,R-1625,Cert:72755 OR *,FEDERAL,,2,LANE,2,NW REGION,WM,19,S,1,W,16,43.91479873,-122.7523117,,,H
OR00010,Green Peter Reservoir,378,430000,G-4,R-5363,Cert:72756 CR *,FEDERAL,Middle Santiam River,2,LINN,2,NW REGION,WM,13,S,2,E,10,44.44968032,-122.54884338,,,H
OR00011,John Day Dam,113,2530000,J-1,,,FEDERAL,Columbia River,0,SHER,3,NC REGION,WM,3,N,17,E,27,45.71604156,-120.69348144,,,H
OR00012,Foster Reservoir,126,61000,F-9,R-5363,Cert:72756 CR *,FEDERAL,South Santiam River,2,LINN,2,NW REGION,WM,13,S,1,E,27,44.41514968,-122.67025756,,,H
OR00013,Blue River Dam,312,89500,B-100,R-5363,Cert:72756 CR *,FEDERAL,Blue River,2,LANE,2,NW REGION,WM,16,S,4,E,16,44.17251968,-122.32862854,,,H
OR00014,Hills Creek Reservoir,341,356000,H-5,R-5363,Cert:72756 CR *,FEDERAL,M. Fork Willamette River,2,LANE,2,NW REGION,WM,21,S,3,E,35,43.7096405,-122.42150115,,,H
OR00015,Cougar Reservoir,519,219000,C-104,R-12116,,FEDERAL,South Fork McKenzie River,2,LANE,2,NW REGION,WM,16,S,5,E,32,44.1287117,-122.23873138,,,H
OR00016,Fern Ridge,44,111434,F-5,R-1625,Cert:72755 OR *,FEDERAL,Long Tom River,2,LANE,2,NW REGION,WM,17,S,5,W,4,44.12023925,-123.30191802,,,H
OR00019,"Somerville, The Reservoir",30,2000,S-115,R-44,Cert:446 OR *,,Spring Creek,11,MALH,9,E REGION,WM,32,S,44,E,4,42.79613113,-117.31793975,2011-02-08,2017,L
OR00020,Camp Creek Reservoir (Baker),45,1700,C-1,R-47,Cert:31687 OR *,FEDERAL,Camp Creek & Bull Run Creek,9,BAKE,8,E REGION,WM,13,S,38,E,5,44.4653511,-118.0881195,,,S
OR00021,Fish Lake (Jackson-USBR),50,22500,F-1,XXF-1,,FEDERAL,Fish Lake & Trib,15,JACK,13,SW REGION,WM,37,S,4,E,4,42.37771987,-122.34793853,,,H
OR00022,Four Mile Lake Dam (USBR),45,33000,F-2,XXF-2,,FEDERAL,Four Mile Lake & Tribs,14,KLAM,13,SW REGION,WM,36,S,5,E,8,42.45497894,-122.24446105,,,S
OR00023,JACKSONVILLE DAM,40,75,J-21,R-60,,,Jackson Creek,15,JACK,13,SW REGION,WM,37,S,3,W,25,42.319561,-123.00032806,2015-04-23,2016,H
OR00024,Whited Reservoir (Baker),45,700,W-4,R-72,Cert:29801 OR *,,South Fork of Burnt River,9,BAKE,8,E REGION,WM,13,S,36,E,13,44.44231033,-118.24375152,2013-09-25,2016,S
OR00026,Morfitt Reservoir,20,280,M-62,R-99,Cert:1075 OR *,,Off-Channel,9,BAKE,8,E REGION,WM,13,S,37,E,20,44.42559051,-118.19413757,2011-07-08,2017,L
OR00028,Vanderveer Dam,45,140,V-8,R-106,Cert:3889 OR *,,Dry Creek,10,HARN,10,E REGION,WM,21,S,34,E,4,43.7731018,-118.55117034,2012-05-24,2018,L
OR00029,Lyle Reservoir,12,103,L-41,R-108,Cert:9689 OR *,,Wilson Creek,5,JEFF,11,SC REGION,WM,10,S,15,E,6,44.72661972,-120.97229766,1990-03-05,2016,L
OR00030,Riddles Reservoir,10,80,R-43,R-123,Cert:1406 OR *,FEDERAL,Indian Springs Creek,12,HARN,10,E REGION,WM,33,S,32.75,E,30,42.68812179,-118.76203155,,,L
OR00031,Keene Creek Diversion,67,392,K-1,R-2210,Cert:79216 OR *,FEDERAL,Keene Creek,14,JACK,13,SW REGION,WM,39,S,3,E,33,42.12928009,-122.47799682,,,S
OR00034,Van Patton Lake Dam,14,643,V-13,R-132,Cert:83799 CF *,,North Fork Dutch Flat Creek,9,BAKE,8,E REGION,WM,7,S,37,E,16,44.95655059,-118.18415832,2012-06-15,2018,L
OR00036,Scott Dam,18,160,S-2,R-165,Cert:700 OR *,,Jerry Creek,10,MALH,9,E REGION,WM,18,S,37,E,26,43.97306823,-118.13210296,2015-07-21,2021,L
OR00038,Kinney Lake,22,315,K-28,R-223,Cert:3890 OR *,,Mountain Sheep Ditch,8,WALL,7,E REGION,WM,3,S,46,E,8,45.31549835,-117.10401153,2013-09-24,2019,L
OR00040,Sawmill Gulch Reservoir,30,177,S-92,R-244,Cert:1253 OR *,,Saw Mill Gulch,9,BAKE,8,E REGION,WM,8,S,43,E,12,44.87533187,-117.39797973,2015-03-17,2021,L
OR00042,McCoy Reservoir,15,1245,M-75,R-252,Cert:2813 OR *,,Mills Creek,14,KLAM,17,SC REGION,WM,40,S,13,E,30,42.07189941,-121.34181976,2011-09-01,2017,L
OR00043,Simms Reservoir,15,515,S-100,R-252,Cert:2813 OR *,,Mills Creek,14,KLAM,17,SC REGION,WM,40,S,13,E,31,42.05498886,-121.33606719,2012-11-28,2018,L
OR00044,Long Creek Reservoir,20,91,L-27,R-257,Cert:51314 RR *,,Long Creek,9,BAKE,8,E REGION,WM,14,S,37,E,10,44.35868072,-118.15924835,2015-06-03,2021,L
OR00047,Crow - F. M. Reservoir,15,170,C-74,R-1079,Inchoate: T  10718 CF (REG) *,,Deer Gulch,9,BAKE,8,E REGION,WM,8,S,47,E,31,44.82057189,-117.01902008,2015-03-24,2021,L
OR00048,Butte,14,500,B-73,R-283,Cert:3307 OR *,,Butte Creek,11,MALH,9,E REGION,WM,24,S,41,E,31,43.4307785,-117.74317932,2011-08-24,2017,L
OR00049,Drews Reservoir,60,65000,D-3,CER-47468,Cert:47468 OR *,,Drews Creek,13,LAKE,12,SC REGION,WM,40,S,18,E,5,42.12197113,-120.61802673,2015-08-11,2016,H
OR00051,Arritola Reservoir,18,2000,A-28,R-304,Cert:2202 OR *,,Soldier Creek,11,MALH,9,E REGION,WM,33,S,46,E,5,42.71940994,-117.09030151,2012-08-28,2018,L
OR00052,Corliss,10,75,C-77,R-313,Cert:2814 OR *,,"Butte Creek, Trib to",11,MALH,9,E REGION,WM,25,S,41,E,30,43.36658096,-117.75627899,2011-08-24,2017,L
OR00053,Anderson-Lower (Malheur),34,2990,A-34,R-320,Cert:2177 OR *,,Crooked Creek,11,MALH,9,E REGION,WM,33,S,40,E,9,42.70613098,-117.81661224,2012-08-28,2018,L
OR00054,Beer s Reservoir,11,400,B-61,R-322,Cert:1855 OR *,,Unnamed,10,MALH,9,E REGION,WM,24,S,38,E,23,43.46557998,-118.01335144,2009-08-21,2015,L
OR00056,"Smith, C.A. Reservoir",10,99,LP-79,R-328,Cert:1250 OR *,,Archer Gulch,17,COOS,19,SW REGION,WM,26,S,13,W,1,43.34833908,-124.19213867,2009-04-21,2015,L
OR00060,Murray Reservoir,21,467,M-61,R-344,Cert:8474 OR *,,East Camp & Camp Creek Basin & La,9,BAKE,8,E REGION,WM,14,S,38,E,18,44.35334014,-118.1055603,2011-06-27,2017,L
OR00064,Beede South,22,2078,D-18b,R-384,Cert:26539 OR *,,Unnamed,10,HARN,10,E REGION,WM,21,S,34,E,13,43.74061965,-118.47238922,2015-07-21,2018,S
OR00065,Beede North,12,183,D-18a,R-384,Cert:26539 OR *,,Unnamed,10,HARN,10,E REGION,WM,21,S,34,E,13,43.74700164,-118.47158813,2015-07-21,2018,S
OR00066,Williams-Sherman Reservoir,25,300,T-40,R-385,Cert:5815 OR *,,North Fork 12 Mile Creek,5,HARN,11,SC REGION,WM,19,S,25,E,8,43.94226837,-119.73918914,2012-06-20,2018,L
OR00067,Minam Lake Reservoir Company,14,520,M-66,R-396,Cert:4937 OR *,FEDERAL,Minam River,8,WALL,7,E REGION,WM,4,S,44,E,30,45.18524169,-117.35202026,,,L
OR00068,Fred Scott Reservoir,24,800,F-43,R-403,Cert:7305 OR *,,Indian Ford Creek,11,MALH,9,E REGION,WM,32,S,42,E,21,42.7523384,-117.55621337,2011-08-01,2017,L
OR00070,Pony Creek - Lower,32,400,P-6,R-10888,Cert:83502 OR *,,Pony Creek,17,COOS,19,SW REGION,WM,25,S,13,W,28,43.37899017,-124.24208831,2015-09-30,2016,H
OR00071,Oriana Reservoir,16,480,O-28,R-409,Cert:11349 OR *,,Oriama & Red Mountain Creeks,12,HARN,10,E REGION,WM,40,S,37,E,16,42.10213851,-118.38716888,2012-09-17,2018,L
OR00073,Clark Reservoir,10,100,C-81,R-420,Cert:12062 OR *,FEDERAL,Unnamed,11,MALH,9,E REGION,WM,28,S,40,E,11,43.1522789,-117.78183746,,,L
OR00074,Shumway Reservoir,10,590,S-81,R-425,Cert:7979 OR *,,Unnamed,10,MALH,9,E REGION,WM,23,S,39,E,20,43.55577087,-117.95187377,2009-07-08,2015,L
OR00076,Echo Lake Reservoir,10,300,E-37,R-436,Cert:7909 OR *,,West Eagle Creek,9,UNIO,8,E REGION,WM,5,S,43,E,21,45.11695098,-117.45680999,2009-09-10,2015,L
OR00077,Traverse Lake Reservoir,10,120,T-43,R-436,Cert:7909 OR *,,West Eagle Creek,9,UNIO,8,E REGION,WM,5,S,43,E,16,45.12054824,-117.44251251,2009-09-10,2015,L
OR00078,South Arm Reservoir,19,560,S-121,R-11221,Permit: R  11221 *,,Hay Creek,13,LAKE,12,SC REGION,WM,40,S,16,E,22,42.08256149,-120.80374145,2015-08-12,2021,L
OR00079,Looking Glass Reservoir,13,527,L-33,R-440,Cert:2924 OR *,,Eagle Creek,9,UNIO,8,E REGION,WM,5,S,44,E,32,45.08274078,-117.36296081,2014-07-31,2020,L
OR00080,Eagle Lake Dam,33,844,E-26,R-441,Cert:2925 OR *,,Eagle Lake,9,UNIO,8,E REGION,WM,5,S,44,E,17,45.12517929,-117.34205627,2014-07-11,2020,L
OR00081,Stimmel Reservoir,17,300,S-118,R-447,Cert:7846 OR *,,Cherry Creek,11,MALH,9,E REGION,WM,34,S,46,E,3,42.62020874,-117.05551147,2012-08-28,2018,L
OR00082,Warm Springs Reservoir (USBR),100,210000,W-3,R-457,Cert:3279 OR *,FEDERAL,Middle Fork Malheur River,10,MALH,9,E REGION,WM,23,S,37,E,8,43.58538818,-118.20876312,,,H
OR00085,Greeley Reservoir,11,800,G-34,R-475,,FEDERAL,Rock Creek,11,MALH,9,E REGION,WM,31,S,44,E,10,42.87166976,-117.31166839,,,S
OR00086,Deary Reservoir,27,360,D-57,R-477,Cert:11884 OR *,,Soldier Creek,11,MALH,9,E REGION,WM,32,S,45,E,21,42.74774932,-117.20339202,2011-08-02,2017,L
OR00087,Swamp Creek Reservoir (Harney),18,50,S-99,R-481,Cert:6419 OR *,,Swamp Creek,5,HARN,10,E REGION,WM,22,S,24,E,8,43.6794281,-119.85665893,2012-07-19,2018,L
OR00088,Rock Lake,28,500,R-41,R-490,Cert:8476 OR *,,Unnamed,9,BAKE,8,E REGION,WM,8,S,38,E,31,44.82289123,-118.11158752,2010-07-21,2016,L
OR00089,Salt Lick Reservoir,23,300,S-116,R-501,Cert:11688 OR *,,Stone Creek,11,MALH,9,E REGION,WM,32,S,46,E,24,42.76063156,-117.02870941,2011-08-02,2017,L
OR00090,Becker,10,150,B-71,R-502,Cert:10087 OR *,,North Fork Indian Creek,10,MALH,9,E REGION,WM,18,S,40,E,7,44.02024841,-117.86804199,2012-08-24,2018,L
OR00091,Pringle Flat Reservoir,15,480,P-45,R-504,Cert:5817 OR *,,Pringle Flat,5,CROO,11,SC REGION,WM,19,S,19,E,34,43.88055038,-120.43520355,2013-01-09,2019,L
OR00092,Box Springs Reservoir,13,155,B-72,R-509,Cert:7978 OR *,FEDERAL,Box Springs Creek,10,MALH,9,E REGION,WM,23,S,39,E,30,43.53969955,-117.97633361,,,L
OR00094,Clark Reservoir 2,14,380,C-82,R-513,Cert:12061 OR *,FEDERAL,"Owyhee River, Trib to",11,MALH,9,E REGION,WM,28,S,41,E,7,43.15821075,-117.75624847,,,L
OR00095,Clear Creek Reservoir-West Fork,16,257,C-2,R-515,Cert:29927 OR *,,West Fork of Clear Creek,9,BAKE,8,E REGION,WM,6,S,45,E,12,45.0618515,-117.15084838,2014-07-11,2017,S
OR00097,Bethel Hills,22,30,B-98,R-14053,Permit: R  14053 *,,,2,POLK,16,NW REGION,WM,6,S,4,W,23,45.02978611,-123.13475555,2012-08-09,2018,L
OR00098,Ochoco Reservoir,130,54000,O-2,R-528,Cert:55973 CF RR *,FEDERAL,Ochoco Creek,5,CROO,11,SC REGION,WM,15,S,17,E,5,44.29822921,-120.72618103,,,H
OR00099,Forcia and Larsen Log Pond,19,90,LP-37,R-530,Cert:5012 OR *,,Elk Creek,2,LANE,2,NW REGION,WM,17,S,7,W,25,44.06789016,-123.47715759,2013-08-08,2016,S
OR00100,Sitz Reservoir,22,182,S-89,R-539,Cert:8127 OR *,,Warmspring Creek,10,HARN,10,E REGION,WM,20,S,34,E,36,43.79182052,-118.47483825,2012-05-24,2018,L
OR00102,Veterans Reservoir,30,18,V-14,R-544,Cert:8128 OR *,,Veterans Creek,2,CLAC,20,NW REGION,WM,1,S,2,E,27,45.46001052,-122.55046844,2013-03-14,2016,S
OR00105,Van Raden,27,115,V-9,R-6052,Cert:55960 OR *,,Rock Creek,2,MULT,18,NW REGION,WM,2,N,2,W,26,45.62874722,-122.90797777,2015-03-17,2016,H
OR00107,Spalding Reservoir,17,184,S-137,R-575,,FEDERAL,Sage Hen Creek,12,LAKE,10,E REGION,WM,39,S,28,E,13,42.19166564,-119.37000274,,,L
OR00108,"Barry, Nick Reservoir",27,2136,B-48,R-586,Cert:9756 OR *,,Jack Creek,12,LAKE,10,E REGION,WM,40,S,27,E,15,42.09402847,-119.53204345,2010-11-02,2016,L
OR00110,Reeder Gulch Reservoir,110,800,R-1,R-596,Cert:10843 OR *,FEDERAL,Ashland Creek,15,JACK,13,SW REGION,WM,39,S,1,E,21,42.15666961,-122.71833038,,,H
OR00111,Fishhole Creek Reservoir,17,56,F-49,R-601,Cert:8689 OR *,FEDERAL,Fishhole Creek,14,LAKE,12,SC REGION,WM,38,S,16,E,20,42.26013946,-120.85700225,,,L
OR00114,Love Reservoir (Baker),30,920,L-10,R-610,Cert:8053 OR *,,Love - Lawrence - East Love - West,9,BAKE,8,E REGION,WM,9,S,42,E,24,44.76128005,-117.52126312,2013-09-09,2016,S
OR00115,Haskins Creek Dam,85,704,H-11,R-8885,Cert:63659 OR *,,Haskins Creek; Trib/Yamhill River,2,YAMH,16,NW REGION,WM,3,S,5,W,18,45.31134033,-123.35701751,2015-03-27,2018,S
OR00116,Tarheel Creek Reservoir,15,75,T-31,R-619,Cert:11185 OR *,FEDERAL,Tarheel Creek,17,COOS,19,SW REGION,WM,25,S,14,W,36,43.35927963,-124.30181884,,,S
OR00117,Brown Reservoir (Harney),32,1100,B-62,R-635,Cert:9467 OR *,,Dry Creek,10,HARN,10,E REGION,WM,28,S,36,E,3,43.16955947,-118.27433013,2012-08-15,2018,L
OR00118,Maher Dam,14,300,M-88,R-100,Cert:818 CR *,FEDERAL,Field Creek,11,MALH,9,E REGION,WM,36,S,48,E,27,42.418055,-117.072222,,,L
OR00119,Holbrook Reservoir,25,740,H-40,R-640,Cert:10938 OR *,,"Fishhole Creek, Trib to Sprague River",14,LAKE,17,SC REGION,WM,38,S,16,E,20,42.26605987,-120.85418701,2012-08-07,2018,L
OR00120,Mehlhorn and Bassett,20,216,M-2,R-657,Cert:29929 OR *,,Clear Creek,9,BAKE,8,E REGION,WM,6,S,46,E,7,45.05863952,-117.12998199,2014-07-11,2020,L
OR00121,Pine Creek Reservoir (Baker),18,2100,P-3,,,,Pine Creek,9,BAKE,8,E REGION,WM,8,S,38,E,32,44.8260498,-118.07910156,2011-07-06,2017,L
OR00122,Antelope (Malheur),56,55000,A-2,R-664,Cert:75584 OR *,,"Jack, Antelope, & Jordan Creek",11,MALH,9,E REGION,WM,30,S,45,E,32,42.90653991,-117.23695373,2015-08-25,2016,H
OR00123,Lapham Reservoir,16,213,L-28,R-665,Cert:11691 OR *,,"Cold Spring Creek, Trib Lost River",14,LAKE,17,SC REGION,WM,39,S,16,E,6,42.22275924,-120.86293792,2012-08-07,2018,L
OR00126,Thompson Valley Diversion (SLID),48,460,S-3,R-680,Cert:49856 OR *,,Silver and West Fork Silver Creek,13,LAKE,12,SC REGION,WM,29,S,14,E,5,43.09186172,-121.07930755,2015-08-11,2016,S
OR00127,Green Point-Upper (No. 2),31,900,G-9a,R-698,Cert:48819 OR *,,Green Point Creek,4,HOOD,3,NC REGION,WM,2,N,9,E,22,45.64134979,-121.67623901,2013-05-16,2016,S
OR00128,Green Point-Lower (No. 1),36,275,G-9b,R-698,Cert:48819 OR *,,Green Point Creek,4,HOOD,3,NC REGION,WM,2,N,9,E,22,45.64902114,-121.67160797,2013-05-16,2016,S
OR00129,Big Three Creeks Lake,14,1400,T-28b,R-701,Cert:76238 RR CR *,FEDERAL,Three Creek,5,DESC,11,SC REGION,WM,17,S,9,E,15,44.10092926,-121.62341308,,,L
OR00130,Little Three Creeks Lake,10,400,T-28a,R-701,Cert:76238 RR CR *,FEDERAL,Three Creek,5,DESC,11,SC REGION,WM,17,S,9,E,15,44.1024208,-121.64250183,,,L
OR00131,Lloyd Gift Reservoir,12,350,G-6,R-705,Cert:14355 OR *,,Run-Off,14,KLAM,17,SC REGION,WM,39,S,15,E,3,42.21826934,-120.93990325,2012-08-07,2018,L
OR00132,Crowley Reservoir,90,3700,C-10,R-709,Cert:14350 OR *,,Big Crowley Creek,11,MALH,9,E REGION,WM,26,S,39,E,15,43.31282043,-117.92700195,2015-08-25,2016,H
OR00133,Gulch Reservoir,17,66,G-8,R-711,Cert:12505 OR *,,Bryant Mt. Gulch,14,KLAM,17,SC REGION,WM,41,S,12,E,13,42.01190185,-121.35011291,2010-12-13,2016,L
OR00134,Rink Creek Reservoir,55,246,R-2,R-721,Cert:13673 OR *,,Rink & Walker Creeks,17,COOS,19,SW REGION,WM,28,S,12,W,4,43.17612075,-124.1386795,2013-12-05,2015,S
OR00135,Middle Reservoir,39,168,M-10a,R-724,Cert:19543 OR *,,Bear Creek,1,CLAT,1,NW REGION,WM,7,N,8,W,13,46.09498977,-123.6171875,2015-05-06,2016,H
OR00136,Wickiup Lake (Clatsop),30,340,M-10b,R-724,Cert:19543 OR *,,Bear Creek,1,CLAT,1,NW REGION,WM,7,N,7,W,18,46.08612823,-123.60823059,2015-05-06,2016,H
OR00138,Bryant Mt. Dam,15,80,B-14,R-741,Cert:20330 OR *,,Surface and Seepage Water,14,KLAM,17,SC REGION,WM,40,S,13,E,29,42.06465911,-121.31825256,2012-11-28,2018,L
OR00139,Pierce Reservoir,29,250,P-7,R-746,Cert:29608 OR *,,Dry Creek,15,JACK,13,SW REGION,WM,37,S,1,E,20,42.33069992,-122.7348175,2010-02-03,2016,L
OR00142,Strong Reservoir,32,70,S-101,R-4458,Cert:37563 OR *,,Sour Dough Gulch,15,JOSE,14,SW REGION,WM,33,S,6,W,12,42.71305847,-123.35771942,2015-04-23,2016,H
OR00143,HL Creek Reservoir,10,130,H-55,R-766,Cert:36999 OR *,,"Eckhardt, H L, & Spring/Trib Catlow Valley",12,HARN,10,E REGION,WM,35.5,S,32.5,E,30,42.47798919,-118.8787918,2011-09-13,2017,L
OR00144,Pacific Plywood Log Pond,15,132,LP-28,R-768,Inchoate: T  10642 CF (REG) *,,Willamina River,2,YAMH,16,NW REGION,WM,6,S,7,W,1,45.07669067,-123.47972106,2009-04-09,2015,L
OR00145,Thompson Valley Reservoir,48,30500,T-3,R-4461,Cert:49858 OR *,,Silver Creek,13,LAKE,12,SC REGION,WM,30,S,14,E,17,42.96422958,-121.08927917,2014-03-04,2017,S
OR00146,Badger Lake (Hood River),22,650,B-8,R-773,Cert:26641 OR *,,Badger Creek,5,HOOD,3,NC REGION,WM,3,S,10,E,16,45.30289077,-121.55941009,2013-10-18,2019,L
OR00147,Rock Creek Dam (Wasco),51,1500,R-4,R-780,Cert:46366 OR *,,"Rock, North Fork Gate, & Threemile",5,WASC,3,NC REGION,WM,4,S,11,E,14,45.21915817,-121.38361358,2015-05-16,2016,H
OR00148,Dailey Reservoir Log Pond,22,575,LP-66,R-781,Cert:28393 CF *,,Dailey Creek,15,JACK,13,SW REGION,WM,33,S,3,E,35,42.65552139,-122.43802642,2010-01-20,2016,L
OR00150,Camp Creek Reservoir (Crook),15,189,C-50a,R-788,Cert:29099 OR *,,Camp Creek,5,CROO,11,SC REGION,WM,19,S,19,E,1,43.95072174,-120.38881683,2015-08-24,2021,L
OR00151,Skull Creek Reservoir,30,144,S-12,R-796,Cert:34344 OR *,,Big & Sittle Skull Creeks,12,HARN,10,E REGION,WM,36,S,32.75,E,23,42.39968872,-118.75235748,2011-09-13,2017,L
OR00152,White Line Reservoir,21,2962,W-11,R-801,Cert:33173 OR *,,"Swan Lake, Trib to",14,KLAM,17,SC REGION,WM,37,S,9,E,23,42.33702087,-121.72812652,2010-11-03,2016,L
OR00155,Dillard Lumber Co Dike,15,285,LP-10,R-817,Cert:75434 RR *,,South Umpqua River,16,DOUG,15,SW REGION,WM,28,S,6,W,33,43.09133148,-123.41722106,2012-12-18,2015,S
OR00157,Rock Creek-Upper (Harney),45,6900,R-8,R-836,Cert:33601 OR *,,Rock Creek,12,HARN,10,E REGION,WM,33,S,29,E,27,42.68684005,-119.30654907,2013-08-15,2019,L
OR00158,Three Mile Creek Reservoir,12,1600,T-45,R-838,Cert:33512 OR *,,Three Mile Creek,12,HARN,10,E REGION,WM,35.5,S,32,E,36,42.48714065,-118.90756988,2011-09-13,2017,L
OR00159,Foster Log Pond,17,375,LP-41,R-841,Cert:19563 OR *,,South Santiam River,2,LINN,2,NW REGION,WM,13,S,1,E,26,44.40628051,-122.66226196,2015-07-16,2016,H
OR00160,Munn Reservoir,23,205,M-12,R-857,Cert:27334 OR *,,Middle Fork Burnt River,9,BAKE,8,E REGION,WM,12,S,36,E,23,44.511993,-118.250453,2013-09-25,2019,L
OR00161,Dick Dam,28,200,D-10,R-867,Cert:28809 OR *,,Lost Creek,5,CROO,11,SC REGION,WM,16,S,20,E,28,44.15433883,-120.31316375,2015-08-24,2018,S
OR00162,Lower Twelvemile (Buker Res),23,180,T-9b,R-869,Cert:38398 OR *,,Twelve Mile Creek,5,CROO,11,SC REGION,WM,19,S,24,E,12,43.94266891,-119.78366088,2012-06-20,2018,L
OR00163,Lillard Dam,26,840,L-3,R-870,Cert:38333 OR *,,"Twelve Mile Creek, South Fork",5,CROO,11,SC REGION,WM,19,S,24,E,28,43.89471054,-119.85218048,2011-05-13,2017,L
OR00164,Echave Reservoir (Malheur),34,122,E-7,R-871,Cert:22263 OR *,,Jackson Creek,11,MALH,9,E REGION,WM,39,S,43,E,5,42.21912002,-117.70758056,2012-08-28,2018,L
OR00165,Georgia Pacific Log Pond,11,237,LP-55,R-875,Cert:17312 OR *,,Camas Swale,16,DOUG,15,SW REGION,WM,25,S,5,W,20,43.37641906,-123.32346343,2010-07-23,2016,L
OR00167,Miller Reservoir (Harney),48,362,M-13,R-878,Cert:21418 OR *,,Gould Creek,10,HARN,10,E REGION,WM,20,S,33.5,E,10,43.84608078,-118.62996673,2015-04-28,2021,L
OR00168,Oakridge Mill Log Pond,13,380,LP-24,R-882,Cert:29539 OR *,,Salt Creek,2,LANE,2,NW REGION,WM,21,S,3,E,15,43.73738098,-122.44303894,2013-08-13,2019,L
OR00170,Rock Quarry Canyon Dam,27,560,R-9,R-899,Cert:26831 OR *,,Rock Quarry Canyon,12,HARN,10,E REGION,WM,23,S,27,E,27,43.55062103,-119.46015167,2014-07-15,2020,L
OR00171,Fitzgerald Reservoir,25,140,F-41,R-907,Cert:22114 OR *,FEDERAL,"Colvin Creek, North Fork",13,LAKE,12,SC REGION,WM,35,S,22,E,33,42.48805999,-120.13166809,,,L
OR00172,Easterday Reservoir,14,1243,E-9,R-913,Cert:20177 OR *,,Granite Creek,10,MALH,9,E REGION,WM,24,S,38,E,1,43.52053833,-118.00624847,2011-08-23,2017,L
OR00173,Mortimer Canyon Dam,30,300,M-17,R-915,Cert:21133 OR *,,Mortimer Canyon Creek,12,HARN,10,E REGION,WM,22,S,32,E,21,43.64498138,-118.76943969,2009-08-04,2015,L
OR00174,Guano Canyon Dam (Harney),19,1500,G-13,R-922,Cert:32654 OR *,,Guano Creek,12,HARN,10,E REGION,WM,35,S,29,E,22,42.53015899,-119.30220794,2013-08-15,2018,L
OR00175,Mosley Reservoir,20,260,M-11,R-923,Cert:31021 OR *,,"Pine Creek, Trib to",9,BAKE,8,E REGION,WM,7,S,46,E,28,44.93450927,-117.09152984,2015-04-02,2021,L
OR00176,Chapman Upper,15,500,C-20a,R-929,Cert:27854 OR *,,"Granite Creek, Trib to",10,MALH,9,E REGION,WM,24,S,38,E,22,43.47026062,-118.03582,2009-07-21,2015,L
OR00177,Lofton Dam,60,387,L-4,R-930,Cert:36700 OR *,,Rowe Creek,6,WHEE,21,NC REGION,WM,9,S,21,E,11,44.80418014,-120.17645263,2011-04-05,2017,L
OR00178,Dickson Reservoir,45,145,D-11,R-931,Cert:53163 OR *,,High Horn Creek,10,MALH,9,E REGION,WM,15,S,38,E,12,44.27251815,-118.00251007,2012-08-23,2018,L
OR00179,Willards Pool,39,680,W-17,R-948,Cert:20906 OR *,,Powers Creek,2,MARI,16,NW REGION,WM,7,S,1,E,15,44.95864105,-122.68067169,2012-08-14,2018,L
OR00180,Wilson Lake Dam (Klamath),15,620,W-56,R-4484,Cert:38819 OR *,,"Miller Creek, Trib to",14,KLAM,17,SC REGION,WM,38,S,14,E,17,42.27341842,-121.08638763,2010-11-04,2016,L
OR00181,Kern Brothers Dam (Harney),51,2700,K-7,R-959,Cert:33720 OR *,,Dry Krumbo Creek,12,HARN,10,E REGION,WM,30,S,32,E,32,42.91796112,-118.78336334,2013-08-15,2019,L
OR00182,Stallard Dam,35,260,S-16,R-964,Cert:30876 CR *,,Otis Creek,10,HARN,10,E REGION,WM,19,S,35,E,22,43.8913002,-118.38298034,2012-10-01,2018,L
